# file...... solar_collector_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# group..... class=inverter AND groupid=solar_inverters
# trigger... (none)
# interval.. 10
# limit..... 0
# property.. timestamp,sum(power_A.real),sum(power_B.real),sum(power_C.real)
2016-01-01 00:51:50 PST,+0,+0,+0
2016-01-01 00:52:00 PST,+0,+0,+0
2016-01-01 00:52:10 PST,+0,+0,+0
2016-01-01 00:52:20 PST,+0,+0,+0
2016-01-01 00:52:30 PST,+0,+0,+0
2016-01-01 00:52:40 PST,+0,+0,+0
2016-01-01 00:52:50 PST,+0,+0,+0
2016-01-01 00:53:00 PST,+0,+0,+0
2016-01-01 00:53:10 PST,+0,+0,+0
2016-01-01 00:53:20 PST,+0,+0,+0
2016-01-01 00:53:30 PST,+0,+0,+0
2016-01-01 00:53:40 PST,+0,+0,+0
2016-01-01 00:53:50 PST,+0,+0,+0
2016-01-01 00:54:00 PST,+0,+0,+0
2016-01-01 00:54:10 PST,+0,+0,+0
2016-01-01 00:54:20 PST,+0,+0,+0
2016-01-01 00:54:30 PST,+0,+0,+0
2016-01-01 00:54:40 PST,+0,+0,+0
2016-01-01 00:54:50 PST,+0,+0,+0
2016-01-01 00:55:00 PST,+0,+0,+0
2016-01-01 00:55:10 PST,+0,+0,+0
2016-01-01 00:55:20 PST,+0,+0,+0
2016-01-01 00:55:30 PST,+0,+0,+0
2016-01-01 00:55:40 PST,+0,+0,+0
2016-01-01 00:55:50 PST,+0,+0,+0
2016-01-01 00:56:00 PST,+0,+0,+0
2016-01-01 00:56:10 PST,+0,+0,+0
2016-01-01 00:56:20 PST,+0,+0,+0
2016-01-01 00:56:30 PST,+0,+0,+0
2016-01-01 00:56:40 PST,+0,+0,+0
2016-01-01 00:56:50 PST,+0,+0,+0
2016-01-01 00:57:00 PST,+0,+0,+0
2016-01-01 00:57:10 PST,+0,+0,+0
2016-01-01 00:57:20 PST,+0,+0,+0
2016-01-01 00:57:30 PST,+0,+0,+0
2016-01-01 00:57:40 PST,+0,+0,+0
2016-01-01 00:57:50 PST,+0,+0,+0
2016-01-01 00:58:00 PST,+0,+0,+0
2016-01-01 00:58:10 PST,+0,+0,+0
2016-01-01 00:58:20 PST,+0,+0,+0
2016-01-01 00:58:30 PST,+0,+0,+0
2016-01-01 00:58:40 PST,+0,+0,+0
2016-01-01 00:58:50 PST,+0,+0,+0
2016-01-01 00:59:00 PST,+0,+0,+0
2016-01-01 00:59:10 PST,+0,+0,+0
2016-01-01 00:59:20 PST,+0,+0,+0
2016-01-01 00:59:30 PST,+0,+0,+0
2016-01-01 00:59:40 PST,+0,+0,+0
2016-01-01 00:59:50 PST,+0,+0,+0
2016-01-01 01:00:00 PST,+0,+0,+0
2016-01-01 01:00:10 PST,+0,+0,+0
2016-01-01 01:00:20 PST,+0,+0,+0
2016-01-01 01:00:30 PST,+0,+0,+0
2016-01-01 01:00:40 PST,+0,+0,+0
2016-01-01 01:00:50 PST,+0,+0,+0
2016-01-01 01:01:00 PST,+0,+0,+0
2016-01-01 01:01:10 PST,+0,+0,+0
2016-01-01 01:01:20 PST,+0,+0,+0
2016-01-01 01:01:30 PST,+0,+0,+0
2016-01-01 01:01:40 PST,+0,+0,+0
2016-01-01 01:01:50 PST,+0,+0,+0
2016-01-01 01:02:00 PST,+0,+0,+0
2016-01-01 01:02:10 PST,+0,+0,+0
2016-01-01 01:02:20 PST,+0,+0,+0
2016-01-01 01:02:30 PST,+0,+0,+0
